date_key,date_id,full_date,day,month,quarter,year,is_weekend,is_holiday
482,20210426,4/26/2021,26,4,2,2021,0,0
483,20210427,4/27/2021,27,4,2,2021,0,0
484,20210428,4/28/2021,28,4,2,2021,0,0
485,20210429,4/29/2021,29,4,2,2021,0,0
486,20210430,4/30/2021,30,4,2,2021,0,0
487,20210501,5/1/2021,1,5,2,2021,1,0
488,20210502,5/2/2021,2,5,2,2021,1,0
489,20210503,5/3/2021,3,5,2,2021,0,1
490,20210504,5/4/2021,4,5,2,2021,0,0
491,20210505,5/5/2021,5,5,2,2021,0,0
492,20210506,5/6/2021,6,5,2,2021,0,0
493,20210507,5/7/2021,7,5,2,2021,0,0
494,20210508,5/8/2021,8,5,2,2021,1,0
495,20210509,5/9/2021,9,5,2,2021,1,0
496,20210510,5/10/2021,10,5,2,2021,0,0
497,20210511,5/11/2021,11,5,2,2021,0,0
498,20210512,5/12/2021,12,5,2,2021,0,0
499,20210513,5/13/2021,13,5,2,2021,0,0
500,20210514,5/14/2021,14,5,2,2021,0,0
501,20210515,5/15/2021,15,5,2,2021,1,0
502,20210516,5/16/2021,16,5,2,2021,1,0
503,20210517,5/17/2021,17,5,2,2021,0,0
504,20210518,5/18/2021,18,5,2,2021,0,0
505,20210519,5/19/2021,19,5,2,2021,0,0
506,20210520,5/20/2021,20,5,2,2021,0,0
507,20210521,5/21/2021,21,5,2,2021,0,0
508,20210522,5/22/2021,22,5,2,2021,1,0
509,20210523,5/23/2021,23,5,2,2021,1,0
510,20210524,5/24/2021,24,5,2,2021,0,0
511,20210525,5/25/2021,25,5,2,2021,0,0
512,20210526,5/26/2021,26,5,2,2021,0,0
513,20210527,5/27/2021,27,5,2,2021,0,0
514,20210528,5/28/2021,28,5,2,2021,0,0
515,20210529,5/29/2021,29,5,2,2021,1,0
516,20210530,5/30/2021,30,5,2,2021,1,0
517,20210531,5/31/2021,31,5,2,2021,0,1
518,20210601,6/1/2021,1,6,2,2021,0,0
519,20210602,6/2/2021,2,6,2,2021,0,0
520,20210603,6/3/2021,3,6,2,2021,0,0
521,20210604,6/4/2021,4,6,2,2021,0,0
522,20210605,6/5/2021,5,6,2,2021,1,0
523,20210606,6/6/2021,6,6,2,2021,1,0
524,20210607,6/7/2021,7,6,2,2021,0,0
525,20210608,6/8/2021,8,6,2,2021,0,0
526,20210609,6/9/2021,9,6,2,2021,0,0
527,20210610,6/10/2021,10,6,2,2021,0,0
528,20210611,6/11/2021,11,6,2,2021,0,0
